inspection_id,dba_name,aka_name,license_,facility_type,risk,address,city,state,zip,inspection_date,inspection_type,results,violations,latitude,longitude,location
2456752,SUN WAH BAR-B-Q INC CO,SUN WAH BAR-B-Q,2263820.0,Restaurant,Risk 1 (High),5039-5043 N BROADWAY ,CHICAGO,IL,60640.0,2020-11-18T00:00:00.000,Canvass Re-Inspection,Fail,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: SIGNAGE INSTRUCTING EMPLOYEES TO WASH HANDS NOT POSTED AT ALL HAND WASH SINKS.  MUST POST SIGNAGE. | 35. APPROVED THAWING METHODS USED - Comments: NOTED DUCK IN WATER INSIDE IN THE PREP SINK THAWING. DISCUSSED WITH MANAGEMENT THE DIFFERENT METHODS OF DEFROSTING FOOD:- EITHER UNDER COLD RUNNING WATER OR INSIDE THE REFRIGERATION UNIT. PRODUCT TEMPERATURE WAS ADEQUATE AT THE TIME. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: NOTED ASSORTED FOOD ITEMS INSIDE REFRIGERATION UNITS AND DRY STORAGE AREAS NOT PROPERLY LABELED. INSTRUCTED TO PROPERLY LABEL ALL FOOD ITEMS WITH PRODUCT NAME INCLUDING BULK FOOD CONTAINERS. | 43. IN-USE UTENSILS: PROPERLY STORED - Comments: NOTED SERVING PLATES ON SHELVES AT THE KITCHEN PREP AREA BY THE DISH WASHING AREA NOT PROPERLY STORED. INSTRUCTED TO INVERT ALL SERVING PLATES DURING STORAGE TO PREVENT DUST ACCUMULATION. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ASSORTED FOOD ITEMS INSIDE COOLERS AND WALK IN COOLER STORED INSIDE GROCERY BAGS AND TIN CANS. INSTRUCTED TO PROPERLY STORE ALL FOOD ITEMS INSIDE APPROVED FOOD GRADE CONTAINERS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: NOTED ICE BUILD UP INSIDE THE WALK IN FREEZER ON THE FLOOR, DOOR AND SHELVES AND BOXES (SEALED). INSTRUCTED TO REPAIR AND MAINTAIN THE CONDENSATION UNITS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: CUTTING BOARDS WITH OPEN SEAMS AND DARK STAINS AT KITCHEN PREP AREAS. MUST REFINISH OR REPLACE DAMAGED OR STAINED CUTTING BOARDS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN COOKING EQUIPMENT AT THE REAR AND FRONT PREP AREA WITH DIRT, FOOD DEBRIS AND SPILLS. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NOTED WASH ROOMS ON PREMISE WITH GARBAGE RECEPTACLES AND NO LIDS. INSTRUCTED TO PROVIDE TRASH CANS WITH LIDS AT ALL WOMEN WASH ROOMS AND UNISEX WASH ROOMS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: NOTED HEAVY CLUTTER AT THE REAR DRY STORAGE AREA LEADING TO THE OUTSIDE OF BUILDING ON FLOORS AND UNUSED EQUIPMENT. INSTRUCTED TO DETAIL CLEAN, ORGANIZE AND REMOVE ALL UNNECESSARY OR UNUSED ARTICLES AND EQUIPMENT TO PREVENT HIDING PLACES FOR PEST. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS AT THE FOLLOWING AREAS:- FLOORS ALONG WALL BASE AND UNDERNEATH COOKING STOVE AND FRYERS AT THE REAR PREP AREA -- FLOORS AT THE FOOD/DRY STORAGE AREA ESPECIALLY WHERE THE RAT DROPPINGS WERE FOUND. -- MISSING TILES ON FLOOR AND COVING AT THE PREP ROOM AREA BY THE HAND WASH SINK OF THE PREP AREA -- PEELING PAINT ON WALLS AT THE REAR DRY STORAGE AREA AND CRACKS ON THE WALL C. MUST ALSO CLEAN AND MAINTAIN FLOOR DRAINS THROUGHOUT THE REAR FOOD PREP/DRY STORAGE AREA AND KEEP DRY ALL THE TIME. | 59. PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED - Comments: NOTED PREVIOUS PRIORITY FOUNDATION VIOLATION #38 (RULE #6-501.111) NOT CORRECTED AS FOLLOWS: STILL NOTED 10 RAT DROPPING AT ENTRANCE TO THE REAR KITCHEN BY THE ICE MACHINE. -3 ON HALL WAY TO THE KITCHEN BY THE UNUSED FISH TANK  -OVER 12 RAT DROPPING AT REAR CORNER WITH THE FAN AND DUCK PREP AREA -10 AT CORNER WALL BASE OF SHELVING WITH FLOUR AND OTHER FOOD FOOD PRODUCTS. -ALSO NOTED AT THIS INSPECTION OVER 30 MICE DROPPING ON SHELVING OF SAME. - OVER 20 RAT DROPPING AT CORNER WALL BASE AT THE DRY STORAGE AREA -OVER 10 RAT DROPPINGS ON TRY AT THE FOOD RAG ALONG WALL AT THE REAR DRY FOOD STORAGE. -ALSO NOTED OVER 50 MICE DROPPING ON SHELVING, FOOD CONTAINERS AND BOXES AT SAME. -OVER 10 INSIDE UNUSED EQUIPMENT AT THE REAR FOOD/DRY STORAGE. -OVER 6 RAT DROPPINGS ON FLOOR UNDERNEATH PHONE BOOTH BY THE DINNING AREA.  INSTRUCTED TO DETAIL CLEAN AND SANITIZE AFFECTED AREAS, ELIMINATE PEST ACTIVITY. INSTRUCTED TO CONSULT WITH PEST CONTROL COMPANY AND HAVE PREMISES TREATED. PRIORITY VIOLATION #7-42-090.",41.97385028949588,-87.65965358195697,"{'type': 'Point', 'coordinates': [41.97385028949588, -87.65965358195697]}"
2456756,"WENDY'S OLD FASHIONED HAMBURGERS OF NEW YORK, INC.",WENDY'S,2431957.0,Restaurant,Risk 1 (High),2610 W PERSHING RD ,CHICAGO,IL,60632.0,2020-11-18T00:00:00.000,Canvass Re-Inspection,Pass,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments:  4-602.13: EXCESSIVE BLACK MOLD LIKE SUBSTANCE ON CAULKING AROUND TOP AND SIDES OF 3-COMPARTMENT SINK. INSTD TO REPLACE CAULK AND MAINTAIN,41.82297459861693,-87.69038839550907,"{'type': 'Point', 'coordinates': [41.82297459861693, -87.69038839550907]}"
2456734,FISHERMANS ISLAND,FISHERMANS ISLAND,2758303.0,Restaurant,Risk 1 (High),6700 S STONY ISLAND AVE ,CHICAGO,IL,60649.0,2020-11-18T00:00:00.000,License,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DAMAGED BASEBOARDS ALONG WALL NEAR COOKING EQUIPMENT AND WALK-IN FREEZER. INSTRUCTED MANAGER TO REPAIR. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED DAMAGED LIGHT SHIELD IN FRONT STORAGE AREA. INSTRUCTED MANAGER TO REPLACE AND MAINTAIN. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: OBSERVED NO ALLERGEN TRAINING AVAILABLE. ALL CERTIFIED MANAGERS MUST PROVIDE ALLERGEN TRAINING.",41.77329289585066,-87.58644236831432,"{'type': 'Point', 'coordinates': [41.77329289585066, -87.58644236831432]}"
2456779,"CHILDREN CITY CHILDCARE, INC.","CHILDREN CITY CHILDCARE, INC.",2215974.0,Children's Services Facility,Risk 1 (High),4918-4922 W FULLERTON AVE ,CHICAGO,IL,60639.0,2020-11-18T00:00:00.000,License,Fail,50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: OBSERVED AN INADEQUATE AMOUNT OF HOT WATER PROVIDED THROUGHOUT THE FACILITY.  MANAGEMENT INSTRUCTED TO PROVIDE HOT WATER ABOVE 110F AT THE 3 COMPARTMENT SINK AND BETWEEN 100-120F AT ALL HANDWASHING SINKS AT ALL TIMES.  PRIORITY 7-38-030(C).  CITATION ISSUED.,41.924305831782874,-87.74957398731118,"{'type': 'Point', 'coordinates': [41.924305831782874, -87.74957398731118]}"
2456782,"ACADEMY OF CREATIVE THINKING, INC.",ACADEMY OF CREATIVE THINKING,2308857.0,Children's Services Facility,Risk 1 (High),4200 N Central AVE ,CHICAGO,IL,60634.0,2020-11-18T00:00:00.000,License,Pass,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: INSTRUCTED TO PROVIDE HANDWASHING SIGNAGE AT ALL HANDSINKS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO REORGANIZE REAR STORAGE AREAS/ROOMS. USABLE ITEMS (FOOD AND NON FOOD) MUST BE STORED 6' OFF THE FLOOR FOR EASY ACCESS ON CLEANING. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO CLEAN AND MAINTAIN CEILING VENT COVER WITH DUST ACCUMULATION ON PREMISES.",41.95687428646395,-87.76727186013788,"{'type': 'Point', 'coordinates': [41.95687428646395, -87.76727186013788]}"
2456797,REACH FOR THE STARS CHILDCARE ACADEMY INC.,REACH FOR THE STARS DAYCARE,2658456.0,Children's Services Facility,Risk 1 (High),5365 W NORTH AVE ,CHICAGO,IL,60639.0,2020-11-18T00:00:00.000,License,No Entry,,41.90932961007302,-87.7605007866545,"{'type': 'Point', 'coordinates': [41.90932961007302, -87.7605007866545]}"
2456789,LUBIANA INC,LUBIANA INC,2757355.0,Restaurant,Risk 2 (Medium),6100 W ADDISON ST ,CHICAGO,IL,60634.0,2020-11-18T00:00:00.000,License Re-Inspection,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO PROVIDE TIGHT FITTING LID/COVER FOR ICE BIN BEHIND THE BAR. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: INSTRUCTED TO INSTALL MOPSINK WITH HOT AND COLD RUNNING WATER. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: TOILET ROOM RECEPTACLES MUST BE COVERED. INSTRUCTED TO PROVIDE LID/COVER. | 57. ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING - Comments: FOOD HANDLER (S) WITH NO PROOF OF FOOD HANDLER TRAINING CERTIFICATE. INSTRUCTED TO PROVIDE.",41.94585533482825,-87.7790626747027,"{'type': 'Point', 'coordinates': [41.94585533482825, -87.7790626747027]}"
2456769,EL NUEVO ALTENO,EL NUEVO ALTENO,2744290.0,Restaurant,Risk 1 (High),4501-4503 W BELMONT AVE ,CHICAGO,IL,60641.0,2020-11-18T00:00:00.000,License Re-Inspection,Not Ready,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO FOOD SANITATION CERTIFICATE ON SITE. MUST PROVIDE PROOF OF CITY OF CHICAGO FOOD SANITATION CERTIFICATION. PRIORITY FOUNDATION VIOLATION 7-38-012. | 3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE WRITTEN EMPLOYEE HEALTH POLICY FOR ALL EMPLOYEES. PRIORITY FOUNDATION VIOLATION. 7-38-010. NO CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT/PROCEDURE ON SITE. MUST PROVIDE WRITTEN PROCEDURE FOR THE CLEAN UP OF VOMIT AND DIARRHEAL EVENTS, AND CORRESPONDING EQUIPMENT OUTLINE IN PROCEDURE. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SINK IN KITCHEN PREP AREA. INSTRUCTED MUST PROVIDE A DEDICATED, EXPOSED HAND WASHING SINK WITH HOT/COLD PLUMBED WATER, SOAP/PAPER TOWELS, AND HANDWASHING SIGNAGE. PRIORITY FOUNDATION VIOLATION 7-38-030(C). | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED SEVERAL PIECES OF COOLERS UNABLE TO MAINTAIN PROPER TEMPERATURE. OBSERVED COOLERS IN FRONT BARS @ 79.9F; PREP COOLER IN KITCHEN @ 70.7F; AND GLASS DOOR COOLER @ 49.9F. INSTRUCTED ALL REFRIGERATION MUST HAVE AMBIENT AIR TEMPERATURE OF 41F OR LESS AT ALL TIMES. PRIORITY VIOLATION 7-38-005. | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE A METAL STEM THERMOMETER TO ACCURATELY MEASURE INTERNAL FOOD TEMPERATURES OF TCS FOODS. PRIORITY FOUNDATION VIOLATION 7-38-005.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED APPROXIMATELY 75 MICE DROPPINGS IN THE FOLLOWING AREAS: UNDER WASHBOWL SINKS, AND IN CORNERS OF FLOORS IN LADIES RESTROOM IN DINING ROOM SIDE; ON FLOOR IN MENS RESTROOM IN DINING ROOM SIDE; ON FLOORS IN 2 BAR AREAS; ON FLOORS ALONG WALLS/ CORNER IN DINING ROOM. MUST REMOVE ALL DROPPINGS AND CLEAN AND SANITIZE THESE AREAS. MUST ELIMINATE PEST ISSUES. PRIORITY FOUNDATION VIOLATION 7-38-020(A). | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments:  OBSERVED NO PROOF OF PEST CONTROL SERVICE ON SITE. MUST PROVIDE LOG BOOK FROM A LICENSED, COMMERCIAL PEST CONTROL PROVIDER. MUST PROVIDE RECENT PROOF OF SERVICE. PRIORITY FOUNDATION 7-38-020(C). | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD SURFACES UNDER COUNTER INSIDE BAR AREA. MUST PAINT OR SEAL TO MAKE SMOOTH, EASILY CLEANABLE AND NON-POROUS. | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments:  MUST PROVIDE CHEMICAL TEST KIT TO ACCURATELY MEASURE CONCENTRATION OF SANITIZER USED INSIDE 3 COMPARTMENT SINK. PRIORITY FOUNDATION VIOLATION 7-38-005. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED RUST ON BOTTOM OF REACH IN COOLER IN BAR ON EAST SIDE OF BUILDING. MUST REMOVE RUST, PAINT OR RESURFACE. MUST MAINTAIN SAME. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: MUST PROVIDE COMMERCIAL GARBAGE REMOVAL SERVICE. PRIORITY FOUNDATION VIOLATION 7-38-020(B) | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED VENTILATION HOOD SYSTEM ABOVE COOKING AREA INOPERABLE. MUST REPAIR AND MAINTAIN SAME. ",41.93881789990675,-87.73955586794855,"{'type': 'Point', 'coordinates': [41.93881789990675, -87.73955586794855]}"
2456733,Q'S AUTHENTIC COOKING,Q'S AUTHENTIC COOKING,2757521.0,Restaurant,Risk 1 (High),306 E 75TH ST ,CHICAGO,IL,60619.0,2020-11-18T00:00:00.000,License,Not Ready,,41.75846743102775,-87.61797380173462,"{'type': 'Point', 'coordinates': [41.75846743102775, -87.61797380173462]}"
2456776,LUCHA CAFE,LUCHA CAFE,2758085.0,Restaurant,Risk 1 (High),2637 N CENTRAL AVE ,CHICAGO,IL,60639.0,2020-11-18T00:00:00.000,License,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO EMPLOYEE HEALTH POLICY ON SITE. MUST PROVIDE WRITTEN EMPLOYEE HEALTH POLICY FOR ALL EMPLOYEES. PRIORITY FOUNDATION VIOLATION. 7-38-010. | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP KIT/PROCEDURE ON SITE. MUST PROVIDE WRITTEN PROCEDURE FOR THE CLEAN UP OF VOMIT AND DIARRHEAL EVENTS, AND CORRESPONDING EQUIPMENT OUTLINE IN PROCEDURE. PRIORITY FOUNDATION VIOLATION 7-38-005. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO SOAP PROVIDED AT HAND SINK OR WASH BOWL SINK IN RESTROOM. MUST PROVIDE SOAP AT EACH HAND SINK/WASH BOWL SINK AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030(C). | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO PAPER TOWELS PROVIDED AT HAND SINK OR WASH BOWL SINK IN RESTROOM. MUST PROVIDE SANITARY MEANS TO DRY HANDS AT EACH HAND SINK/WASH BOWL SINK AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-030(C). | 33. PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL - Comments: OBSERVED REGRIGERATION UNABLE TO MAINTAIN PROPER TEMPERATURES. FOUND AMBIENT AIR TEMPERATURE OF 64.5F IN DISPLAY COOLER IN FRONT; AMBIENT AIR TEMPERATURE OF 65.7F INSIDE 2 DOOR PREP COOLER. ALL REFRIGERATION MUST MAINTAIN AMBIENT AIR TEMPERATURE OF 41F OR LESS AT ALL TIMES. PRIORITY VIOLATION 7-38-005.  | 36. THERMOMETERS PROVIDED & ACCURATE - Comments: MUST PROVIDE METAL STEM THERMOMETER TO ACCURATELY MEASURE INTERNAL FOOD TEMPERATURES. PRIORITY VIOLATION 7-38-005.  | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: FACILITY DOES NOT HAVE PEST CONTROL SERVICE PROVIDER. MUST PROVIDE PEST CONTROL LOG BOOK, WITH ALL REQUIRED INFORMATION (CONTRACT, SERVICE INVOICE, IDPH BUSINESS LICENSE, ETC.) FROM A LICENSED, COMMERCIAL PEST CONTROL PROVIDER. PRIROTIY FOUNDATION VIOLATION 7-38-020(C). | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED NO METHOD TO SANITIZE UTENSILS ON SITE. MUST PROVIDE A CHEMICAL SANITIZER, AND CORRESPONDING CHEMICAL TEST KIT (PAPER STRIPS) TO ACCURATELY MEASURE CONCENTRATION OF SANITIZER USED IN 3 COMPARTMENT SINK. PRIORITY FOUNDATION VIOLATION 7-38-005. | 52. SEWAGE & WASTE WATER PROPERLY DISPOSED - Comments: OBSERVED WASTE WATER POURING OUT OF PIPES UNDER RIGHT BASIN OF 3 COMPARTMENT SINK, ON TO FLOOR OF PREP AREA. MUST REPAIR TO PROPERLY CONVEY WASTE WATER INTO GREASE TRAP. PRIORITY VIOLATION 7-38-030(C).  | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: MUST PROVIDE COMMERCIAL GARBAGE REMOVAL SERVICE. (MUST PROVIDE OUTSIDE RECEPTACLE) PRIORITY FOUNDATION VIOLATION 7-38-020(B). | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED HOLE IN THE WALL OF STORAGE ROOM IN REAR. MUST REPAIR ALL OPENINGS IN WALLS AND CEILINGS TO PREVENT PEST ENTRY. | 58. ALLERGEN TRAINING AS REQUIRED - Comments: MUST PROVIDE PROOF OF ALLERGEN TRAINING FOR ALL CITY OF CHICAGO FOOD SANITATION MANAGERS. ",41.92876724129143,-87.7660071056267,"{'type': 'Point', 'coordinates': [41.92876724129143, -87.7660071056267]}"
